awardeeCounty,Year_date,awardee,d_inv,d_59,estimatedTotalAmt,d_99,estimatedTotalAmt_d_99,total
Bethlehem,2015,LEHIGH UNIVERSITY,0,3,150000,0,0,150000
Bethlehem,2016,LEHIGH UNIVERSITY,0,2,100000,0,0,100000
Bethlehem,2020,LEHIGH UNIVERSITY,0,1,50000,0,0,50000
Binghamton,2016,"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",0,1,50000,0,0,50000
Binghamton,2017,"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",0,1,50000,1,500000,550000
Binghamton,2018,"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",0,2,100000,0,0,100000
Binghamton,2019,"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",0,6,300000,0,0,300000
Binghamton,2020,"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",0,3,150000,0,0,150000
Binghamton,2021,"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",0,4,200000,0,0,200000
Birmingham,2017,UNIVERSITY OF ALABAMA AT BIRMINGHAM,1,0,0,1,498795,498795
Birmingham,2020,UNIVERSITY OF ALABAMA AT BIRMINGHAM,0,1,16607,0,0,16607
Blacksburg,2012,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,0,2,100000,0,0,100000
Blacksburg,2013,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,0,3,150000,0,0,150000
Blacksburg,2015,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,0,3,150000,0,0,150000
Blacksburg,2016,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,0,5,250000,0,0,250000
Blacksburg,2017,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,0,1,50000,0,0,50000
Blacksburg,2018,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,0,1,50000,0,0,50000
Blacksburg,2019,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,0,3,150000,0,0,150000
Blacksburg,2021,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,0,2,100000,0,0,100000
Blacksburg,2022,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,0,2,99309,0,0,99309
Bloomington,2012,TRUSTEES OF INDIANA UNIVERSITY,0,1,50000,0,0,50000
Bloomington,2013,TRUSTEES OF INDIANA UNIVERSITY,0,1,50000,0,0,50000
Bloomington,2014,TRUSTEES OF INDIANA UNIVERSITY,0,1,50000,0,0,50000
Bloomington,2015,TRUSTEES OF INDIANA UNIVERSITY,0,1,50000,0,0,50000
Bloomington,2018,TRUSTEES OF INDIANA UNIVERSITY,0,2,100000,0,0,100000
Bloomington,2020,TRUSTEES OF INDIANA UNIVERSITY,0,1,50000,0,0,50000
Bloomington,2021,TRUSTEES OF INDIANA UNIVERSITY,0,1,50000,0,0,50000
Boca Raton,2018,FLORIDA ATLANTIC UNIVERSITY,0,1,50000,1,254997,304997
Boca Raton,2019,FLORIDA ATLANTIC UNIVERSITY,0,1,50000,0,0,50000
Boise,2013,BOISE STATE UNIVERSITY,0,1,50000,0,0,50000
Boise,2014,BOISE STATE UNIVERSITY,0,1,50000,0,0,50000
Boston,2011,NORTHEASTERN UNIVERSITY,0,1,50000,0,0,50000
Boston,2012,NORTHEASTERN UNIVERSITY,0,3,150000,0,0,150000
Boston,2013,NORTHEASTERN UNIVERSITY,0,2,100000,0,0,100000
Boston,2013,TRUSTEES OF BOSTON UNIVERSITY,0,2,100000,0,0,100000
Boston,2014,TRUSTEES OF BOSTON UNIVERSITY,0,1,50000,0,0,50000
Boston,2014,"MASSACHUSETTS GENERAL HOSPITAL, THE",1,0,0,1,300000,300000
Boston,2015,NORTHEASTERN UNIVERSITY,0,3,150000,0,0,150000
Boston,2016,NORTHEASTERN UNIVERSITY,0,9,450000,0,0,450000
Boston,2017,NORTHEASTERN UNIVERSITY,0,2,100000,1,436285,536285
Boston,2020,NORTHEASTERN UNIVERSITY,0,3,150000,0,0,150000
Boston,2020,TRUSTEES OF BOSTON UNIVERSITY,0,1,50000,0,0,50000
Boston,2021,NORTHEASTERN UNIVERSITY,0,1,50000,0,0,50000
Boston,2022,NORTHEASTERN UNIVERSITY,0,1,50000,0,0,50000
Boulder,2012,"REGENTS OF THE UNIVERSITY OF COLORADO, THE",0,1,50000,0,0,50000
Boulder,2013,"REGENTS OF THE UNIVERSITY OF COLORADO, THE",0,1,50000,0,0,50000
Boulder,2014,"REGENTS OF THE UNIVERSITY OF COLORADO, THE",0,2,100000,0,0,100000
Boulder,2016,"REGENTS OF THE UNIVERSITY OF COLORADO, THE",0,3,150000,0,0,150000
Boulder,2017,"REGENTS OF THE UNIVERSITY OF COLORADO, THE",0,1,50000,0,0,50000
Boulder,2018,"REGENTS OF THE UNIVERSITY OF COLORADO, THE",0,1,50000,0,0,50000
Boulder,2019,"REGENTS OF THE UNIVERSITY OF COLORADO, THE",0,1,50000,0,0,50000
Boulder,2021,"REGENTS OF THE UNIVERSITY OF COLORADO, THE",0,1,50000,0,0,50000
Brazos,2016,"TEXAS A&M UNIVERSITY SYSTEM, THE",0,1,50000,0,0,50000
Brazos,2017,"TEXAS A&M UNIVERSITY SYSTEM, THE",0,1,50000,0,0,50000
Brazos,2018,"TEXAS A&M UNIVERSITY SYSTEM, THE",0,1,50000,0,0,50000
Brazos,2021,"TEXAS A&M UNIVERSITY SYSTEM, THE",0,1,50000,0,0,50000
Brazos,2022,"TEXAS A&M UNIVERSITY SYSTEM, THE",0,1,50000,0,0,50000
Bronx,2014,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,0,1,50000,0,0,50000
Brookings,2012,SOUTH DAKOTA STATE UNIVERSITY,0,1,50000,0,0,50000
Brookings,2018,SOUTH DAKOTA STATE UNIVERSITY,0,1,50000,0,0,50000
Brookings,2022,SOUTH DAKOTA STATE UNIVERSITY,0,1,50000,0,0,50000
Brooklyn,2013,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,0,1,50000,1,3629089,3679089
Brooklyn,2014,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,0,1,50000,0,0,50000
Brooklyn,2016,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,0,1,50000,0,0,50000
Brooklyn,2019,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,0,1,50000,0,0,50000
